City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
234,Brus,RS,2021-07-29 06:31:48,43.3836,21.0336,74.32,33,0,2.98
235,Ampanihy,MG,2021-07-29 06:31:49,-24.7,44.75,72.37,53,0,14.18
236,Shitanjing,CN,2021-07-29 06:31:49,39.2342,106.3439,91.31,14,6,11.34
237,Mahibadhoo,MV,2021-07-29 06:31:50,3.7833,72.9667,82.71,72,100,8.66
238,Manitouwadge,CA,2021-07-29 06:31:50,49.1215,-85.8403,57.92,98,75,3.44
239,Cap Malheureux,MU,2021-07-29 06:31:51,-19.9842,57.6142,74.46,66,97,11.01
240,Plastun,RU,2021-07-29 06:31:51,44.7561,136.2939,80.6,68,46,5.12
241,Weyburn,CA,2021-07-29 06:30:09,49.6668,-103.8511,59.22,63,4,4.61
242,Zaysan,KZ,2021-07-29 06:31:52,47.4667,84.8667,79.45,21,100,10.29
243,Agadez,NE,2021-07-29 06:31:52,19.75,10.25,91.62,26,73,8.59
244,Flin Flon,CA,2021-07-29 06:28:53,54.7682,-101.865,54.84,57,5,5.35
245,Safidon,IN,2021-07-29 06:31:53,29.4167,76.6667,85.77,72,100,5.73
246,Castro,BR,2021-07-29 06:31:53,-24.7911,-50.0119,28.74,80,6,5.26
247,Baiyin,CN,2021-07-29 06:31:55,36.5583,104.2081,90.48,12,28,7.67
248,Malangali,TZ,2021-07-29 06:31:55,-8.5667,34.85,67.82,39,0,11.01
249,Macamic,CA,2021-07-29 06:31:56,48.7502,-78.9996,61.03,89,100,5.86
250,Mawlaik,MM,2021-07-29 06:31:56,23.6333,94.4167,79.3,97,100,2.44
251,Molina,CL,2021-07-29 06:31:57,-35.1167,-71.2833,38.37,100,0,1.14
252,Mount Isa,AU,2021-07-29 06:31:58,-20.7333,139.5,91.17,17,40,9.22
253,Gonbad-E Qabus,IR,2021-07-29 06:31:58,37.25,55.1672,70.75,69,87,9.95
254,Borova,UA,2021-07-29 06:31:59,50.1763,30.1043,80.74,57,5,5.19
255,Faya,SA,2021-07-29 06:31:59,18.3851,42.4509,70.32,32,25,7.05
256,Kasongo-Lunda,CD,2021-07-29 06:32:00,-6.4667,16.8167,73.96,24,0,1.39
257,Narsaq,GL,2021-07-29 06:32:00,60.9167,-46.05,46.62,94,94,3.42
258,Papayal,PE,2021-07-29 06:32:00,-4.0761,-80.7361,69.37,82,5,3.24
259,Gizo,SB,2021-07-29 06:32:01,-8.103,156.8419,82.56,75,22,6.06
260,Riberalta,BO,2021-07-29 06:32:02,-10.9833,-66.1,63.97,29,7,7.81
261,Springdale,US,2021-07-29 06:32:02,36.1867,-94.1288,80.01,91,1,0.0
262,Saint-Pierre,RE,2021-07-29 06:32:03,-21.3393,55.4781,74.88,57,0,25.32
